create_date;link;id;name;regular_price;promotional_price;brand
2024-10-16T23:10:45Z;https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-molotyy-dlya-chashek-i-turok-250g;227974;Кофе Fresco Arabica solo молотый для чашек и турок, 250г;399;349;FRESCO
2024-10-16T23:10:48Z;https://online.metro-cc.ru/products/kofe-poetti-soul-of-havana-naturalnyy-zharenyy-v-zernah-800g;257964;Кофе Poetti Soul of Havana натуральный жареный в зернах, 800г;1759;1299;POETTI
2024-10-16T23:10:52Z;https://online.metro-cc.ru/products/50shth20g-napitok-kofeynyy-maccoffee-3v1-sgusch-mol-portsionnyy;253072;Напиток кофейный MacCoffee со сгущенным молоком 3в1 порционный (20г x 50шт), 1кг;879;739;MACCOFFEE
2024-10-16T23:10:54Z;https://online.metro-cc.ru/products/1kg-kofe-coffesso-crema-zerno;241735;Кофе Coffesso Crema зерновой, 1кг;1539;1199;COFFESSO
2024-10-16T23:10:57Z;https://online.metro-cc.ru/products/75g-kofe-jardin-kolumbiya-medellin-rastvorimyy;228239;Кофе Jardin Колумбия Меделлин растворимый, 75г;329;199;JARDIN
2024-10-16T23:10:59Z;https://online.metro-cc.ru/products/egoiste-sublimirovannyj-very-special-100g;590985;Кофе Egoiste Very Special растворимый сублимированный, 100г;1269;749;EGOISTE
2024-10-16T23:11:05Z;https://online.metro-cc.ru/products/900g-kofe-fresco-liberty-zerno;228781;Кофе Fresco Liberty в зернах, 900г;1799;1199;FRESCO
2024-10-16T23:11:08Z;https://online.metro-cc.ru/products/julius-meinl-espresso-krema-10sht;100815;Кофе в капсулах Julius Meinl Espresso Crema Bio для кофемашин Nespresso 10шт, 56г;689;449;JULIUS MEINL
2024-10-16T23:11:10Z;https://online.metro-cc.ru/products/kofe-egoiste-truffle-rastvorimyy-sublimirovannyy-95g;228295;Кофе Egoiste Truffle растворимый сублимированный, 95г;1049;699;EGOISTE
2024-10-16T23:11:13Z;https://online.metro-cc.ru/products/egoiste-espresso-1000g;44332;Кофе Egoiste Espresso в зернах, 1кг;2489;1699;EGOISTE
2024-10-16T23:11:17Z;https://online.metro-cc.ru/products/bushido-sublimirovannyj-original-100g;407889;Кофе Bushido Original растворимый, 100г;769;699;BUSHIDO
2024-10-16T23:11:19Z;https://online.metro-cc.ru/products/kofe-zernovoj-bushido-black-katana-1000g;110546;Кофе Bushido Black Katana в зернах, 1кг;2849;1899;BUSHIDO
2024-10-16T23:11:22Z;https://online.metro-cc.ru/products/jardin-guatemala-atitlan-naturalnyj-95-g;469363;Кофе Jardin Guatemala Atitlan натуральный растворимый, 95г;319;269;JARDIN
2024-10-16T23:11:24Z;https://online.metro-cc.ru/products/art-260443;260443;Кофе Carte Noire Instinct растворимый, 95г;849;499;CARTE NOIRE
2024-10-16T23:11:27Z;https://online.metro-cc.ru/products/yubilejnyj-julius-meinl-1000g;104610;Кофе Julius Meinl Юбилейный классическая коллекция в зернах, 1кг;1689;1599;JULIUS MEINL
2024-10-16T23:11:31Z;https://online.metro-cc.ru/products/1kg-kofe-alta-roma-papua-new-guinea-zerno;259876;Кофе Alta Roma Papua New Guinea зерновой, 1кг;2649;1899;ALTA ROMA
2024-10-16T23:11:35Z;https://online.metro-cc.ru/products/250g-jardin-kolumbiya-supremo-mol;119134;Кофе Jardin Columbia Supremo молотый, 250г;469;399;JARDIN
2024-10-16T23:11:38Z;https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-lungo-profond-v-kapsulah;226335;Кофе в капсулах Carte Noire Lungo Profond для кофемашин Nespresso 10шт, 52г;499;399;CARTE NOIRE
2024-10-16T23:11:41Z;https://online.metro-cc.ru/products/kofe-verle-classic-solid-v-kapsulah-55g-x-10sht-55g;228436;Кофе в капсулах Verle Classic Solid для кофемашин Nespresso 10шт, 55г;;349;VERLE
2024-10-16T23:11:44Z;https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-ruby-v-zernah;218714;Кофе Poetti Leggenda Ruby в зернах, 1кг;2599;1399;POETTI
2024-10-16T23:11:46Z;https://online.metro-cc.ru/products/900g-nescafe-classic;123742;Кофе Нескафе Классик растворимый, 900г;1429;1299;НЕСКАФЕ
2024-10-16T23:11:49Z;https://online.metro-cc.ru/products/art-553579;553579;Кофе Egoiste Espresso натуральный молотый жареный, 250г;509;469;EGOISTE
2024-10-16T23:11:51Z;https://online.metro-cc.ru/products/kofe-fresco-uganda-v-zernah-900g;249897;Кофе Fresco Uganda в зернах, 900г;1649;1319;FRESCO
2024-10-16T23:11:54Z;https://online.metro-cc.ru/products/40shth55g-kofe-lebo-espresso-milky-banka;221911;Кофе в капсулах Lebo Espresso Milky для кофемашин Nespresso 40шт, 220г;1619;1299;LEBO
2024-10-16T23:11:57Z;https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-alpino-espresso-classic-zerno;257435;Кофе Italco Espresso Alpino Espresso Classic зерновой, 1кг;2849;2199;ITALCO
2024-10-16T23:12:00Z;https://online.metro-cc.ru/products/1kg-kofe-lebo-extra-v-zernah;226340;Кофе Lebo Extra в зернах, 1кг;1799;1499;LEBO
2024-10-16T23:12:06Z;https://online.metro-cc.ru/products/jardin-v-zernah-naturalnyj-zharenyj-espresso-di-milano-1kg;633254;Кофе Jardin Эспрессо ди Милано в зернах, 1кг;1879;1199;JARDIN
2024-10-16T23:12:09Z;https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-150g;426450;Кофе Carte Noire Original растворимый сублимированный, 150г;1199;849;CARTE NOIRE
2024-10-16T23:12:11Z;https://online.metro-cc.ru/products/190g-kofe-nescafe-classic-rastvorimyy-stekl-banka;218638;Кофе Нескафе Классик растворимый, 190г;469;389;НЕСКАФЕ
2024-10-16T23:12:14Z;https://online.metro-cc.ru/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-dolci-arabica;221902;Кофе в капсулах Carraro Dolci arabica для кофемашин Nespresso 10шт, 55г;729;419;CARRARO
2024-10-16T23:12:17Z;https://online.metro-cc.ru/products/jardin-eclair-1000g;101497;Кофе Jardin Eclair в зернах, 1кг;2119;1199;JARDIN
2024-10-16T23:12:19Z;https://online.metro-cc.ru/products/kimbo-espresso-v-zernah-1-kg;629006;Кофе Kimbo Espresso в зернах, 1кг;2089;1799;KIMBO
2024-10-16T23:12:21Z;https://online.metro-cc.ru/products/jardin-naturalnyj-sublimirovannyj-colombia-medellin-95g;469362;Кофе Jardin Colombia Medellin натуральный растворимый сублимированный, 95г;319;269;JARDIN
2024-10-16T23:12:24Z;https://online.metro-cc.ru/products/95g-kofe-zhokey-gold-rastvorimyy-stb;228242;Кофе Жокей Gold растворимый, 95г;409;259;ЖОКЕЙ
2024-10-16T23:12:27Z;https://online.metro-cc.ru/products/l-rsquoor-lungo-profondo-52-g;637203;Кофе в капсулах L’or Espresso Lungo Profondo для кофемашин Nespresso 10шт, 52г;399;379;L'OR
2024-10-16T23:12:29Z;https://online.metro-cc.ru/products/kofe-egoiste-captain-zernovoy-250g;246512;Кофе Egoiste Captain зерновой, 250г;1049;469;EGOISTE
2024-10-16T23:12:32Z;https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-intenso-v-zernah-1kg;235419;Кофе Miscela D'Oro Espresso Intenso в зернах, 1кг;1499;1399;MISCELA D'ORO
2024-10-16T23:12:34Z;https://online.metro-cc.ru/products/50h5g-coffesso-nabor;117387;Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт, 250г x 6 шт;10074;5994;COFFESSO
2024-10-16T23:12:37Z;https://online.metro-cc.ru/products/ambassador-blue-label-zernovoj-1000-g;665877;Кофе Ambassador Blue Label в зернах, 1кг;1949;999;AMBASSADOR
2024-10-16T23:12:39Z;https://online.metro-cc.ru/products/kofe-kaffa-fresco-narino-rastvorimyy-sublimirovannyy-100g;249901;Кофе Kaffa Fresco Narino растворимый сублимированный, 100г;1529;999;FRESCO
2024-10-16T23:12:41Z;https://online.metro-cc.ru/products/20g-napitok-kofeynyy-maccoffee-3v1-rastvorimyy-254706;254706;Напиток кофейный MacCoffee 3в1 растворимый, 20г x 100 шт;;1759;MACCOFFEE
2024-10-16T23:12:44Z;https://online.metro-cc.ru/products/kimbo-intenso-1kg;629008;Кофе Kimbo Intenso в зернах, 1кг;2089;1499;KIMBO
